x|y|class|filename|fullpath
1.91048|-3.39289|cheeseburger|cheeseburger_001.jpg|DATASET\example\cheeseburger\cheeseburger_001.jpg
5.54585|-5.50892|cheeseburger|cheeseburger_002.jpg|DATASET\example\cheeseburger\cheeseburger_002.jpg
3.30535|-3.78882|cheeseburger|cheeseburger_003.jpg|DATASET\example\cheeseburger\cheeseburger_003.jpg
5.77944|-5.11238|cheeseburger|cheeseburger_004.jpg|DATASET\example\cheeseburger\cheeseburger_004.jpg
4.66541|-6.08200|cheeseburger|cheeseburger_005.jpg|DATASET\example\cheeseburger\cheeseburger_005.jpg
3.93359|-5.59229|cheeseburger|cheeseburger_006.jpg|DATASET\example\cheeseburger\cheeseburger_006.jpg
3.57426|-5.19989|cheeseburger|cheeseburger_007.jpg|DATASET\example\cheeseburger\cheeseburger_007.jpg
5.34641|-5.26435|cheeseburger|cheeseburger_008.jpg|DATASET\example\cheeseburger\cheeseburger_008.jpg
4.26750|-5.59760|cheeseburger|cheeseburger_009.jpg|DATASET\example\cheeseburger\cheeseburger_009.jpg
3.65168|-4.61017|cheeseburger|cheeseburger_010.jpg|DATASET\example\cheeseburger\cheeseburger_010.jpg
2.51725|-7.21064|corn|corn_001.jpg|DATASET\example\corn\corn_001.jpg
-0.90068|-2.28333|corn|corn_002.jpg|DATASET\example\corn\corn_002.jpg
-1.31339|-2.67616|corn|corn_003.jpg|DATASET\example\corn\corn_003.jpg
-1.50701|-4.15748|corn|corn_004.jpg|DATASET\example\corn\corn_004.jpg
-1.78513|-2.23330|corn|corn_005.jpg|DATASET\example\corn\corn_005.jpg
-1.45146|-2.90542|corn|corn_006.jpg|DATASET\example\corn\corn_006.jpg
-1.13817|-4.09574|corn|corn_007.jpg|DATASET\example\corn\corn_007.jpg
-0.52651|-3.04416|corn|corn_008.jpg|DATASET\example\corn\corn_008.jpg
-0.85007|-2.75285|corn|corn_009.jpg|DATASET\example\corn\corn_009.jpg
-2.33916|-3.27367|corn|corn_010.jpg|DATASET\example\corn\corn_010.jpg
8.86559|3.03629|flamingo|flamingo_001.jpg|DATASET\example\flamingo\flamingo_001.jpg
8.70396|3.49327|flamingo|flamingo_002.jpg|DATASET\example\flamingo\flamingo_002.jpg
9.15268|3.44535|flamingo|flamingo_003.jpg|DATASET\example\flamingo\flamingo_003.jpg
8.08208|3.31551|flamingo|flamingo_004.jpg|DATASET\example\flamingo\flamingo_004.jpg
9.62468|2.26337|flamingo|flamingo_005.jpg|DATASET\example\flamingo\flamingo_005.jpg
9.25754|2.17154|flamingo|flamingo_006.jpg|DATASET\example\flamingo\flamingo_006.jpg
9.77438|2.72262|flamingo|flamingo_007.jpg|DATASET\example\flamingo\flamingo_007.jpg
9.34450|4.00304|flamingo|flamingo_008.jpg|DATASET\example\flamingo\flamingo_008.jpg
9.47476|3.89553|flamingo|flamingo_009.jpg|DATASET\example\flamingo\flamingo_009.jpg
8.00057|3.72272|flamingo|flamingo_010.jpg|DATASET\example\flamingo\flamingo_010.jpg
4.65546|2.58818|goldfish|goldfish_001.jpg|DATASET\example\goldfish\goldfish_001.jpg
6.37429|2.32766|goldfish|goldfish_002.jpg|DATASET\example\goldfish\goldfish_002.jpg
5.87595|1.76505|goldfish|goldfish_003.jpg|DATASET\example\goldfish\goldfish_003.jpg
1.20746|-1.87436|goldfish|goldfish_004.jpg|DATASET\example\goldfish\goldfish_004.jpg
5.51091|1.40812|goldfish|goldfish_005.jpg|DATASET\example\goldfish\goldfish_005.jpg
4.75146|2.29020|goldfish|goldfish_006.jpg|DATASET\example\goldfish\goldfish_006.jpg
5.06253|1.88159|goldfish|goldfish_007.jpg|DATASET\example\goldfish\goldfish_007.jpg
6.64954|1.39623|goldfish|goldfish_008.jpg|DATASET\example\goldfish\goldfish_008.jpg
6.19047|1.38865|goldfish|goldfish_009.jpg|DATASET\example\goldfish\goldfish_009.jpg
6.24201|0.66812|goldfish|goldfish_010.jpg|DATASET\example\goldfish\goldfish_010.jpg
7.90162|5.56623|hen|hen_001.jpg|DATASET\example\hen\hen_001.jpg
6.23656|5.53368|hen|hen_002.jpg|DATASET\example\hen\hen_002.jpg
7.39500|6.14006|hen|hen_003.jpg|DATASET\example\hen\hen_003.jpg
7.29739|5.63890|hen|hen_004.jpg|DATASET\example\hen\hen_004.jpg
7.20855|6.54209|hen|hen_005.jpg|DATASET\example\hen\hen_005.jpg
6.49410|5.08339|hen|hen_006.jpg|DATASET\example\hen\hen_006.jpg
5.46649|5.31312|hen|hen_007.jpg|DATASET\example\hen\hen_007.jpg
6.52524|5.12276|hen|hen_008.jpg|DATASET\example\hen\hen_008.jpg
7.13627|4.95405|hen|hen_009.jpg|DATASET\example\hen\hen_009.jpg
5.86215|6.41415|hen|hen_010.jpg|DATASET\example\hen\hen_010.jpg
1.99590|-4.81583|hotdog|hotdog_001.jpg|DATASET\example\hotdog\hotdog_001.jpg
0.99948|-6.59151|hotdog|hotdog_002.jpg|DATASET\example\hotdog\hotdog_002.jpg
2.22239|-6.74384|hotdog|hotdog_003.jpg|DATASET\example\hotdog\hotdog_003.jpg
2.21393|-6.21178|hotdog|hotdog_004.jpg|DATASET\example\hotdog\hotdog_004.jpg
2.27454|-6.13281|hotdog|hotdog_005.jpg|DATASET\example\hotdog\hotdog_005.jpg
3.93808|-6.85357|hotdog|hotdog_006.jpg|DATASET\example\hotdog\hotdog_006.jpg
1.85255|-5.57974|hotdog|hotdog_007.jpg|DATASET\example\hotdog\hotdog_007.jpg
3.17330|-6.83367|hotdog|hotdog_008.jpg|DATASET\example\hotdog\hotdog_008.jpg
2.72364|-5.20559|hotdog|hotdog_009.jpg|DATASET\example\hotdog\hotdog_009.jpg
1.26910|-4.78861|hotdog|hotdog_010.jpg|DATASET\example\hotdog\hotdog_010.jpg
-0.86440|0.84018|lemon|lemon_001.jpg|DATASET\example\lemon\lemon_001.jpg
