x|y|class|filename|fullpath
-6.02114|17.67364|ADIPINE_110489_1A 185-56|image_000238.jpg|DATASET\pill-aluminium\ADIPINE_110489_1A 185-56\image_000238.jpg
-7.10269|17.19366|ADIPINE_110489_1A 185-56|image_000239.jpg|DATASET\pill-aluminium\ADIPINE_110489_1A 185-56\image_000239.jpg
-6.51293|17.43666|ADIPINE_110489_1A 185-56|image_000240.jpg|DATASET\pill-aluminium\ADIPINE_110489_1A 185-56\image_000240.jpg
-7.33120|17.12763|ADIPINE_110489_1A 185-56|image_000241.jpg|DATASET\pill-aluminium\ADIPINE_110489_1A 185-56\image_000241.jpg
-5.98832|17.69225|ADIPINE_110489_1A 185-56|image_000242.jpg|DATASET\pill-aluminium\ADIPINE_110489_1A 185-56\image_000242.jpg
-6.88042|17.24308|ADIPINE_110489_1A 185-56|image_000243.jpg|DATASET\pill-aluminium\ADIPINE_110489_1A 185-56\image_000243.jpg
-6.27227|17.52032|ADIPINE_110489_1A 185-56|image_000244.jpg|DATASET\pill-aluminium\ADIPINE_110489_1A 185-56\image_000244.jpg
-7.35812|17.14663|ADIPINE_110489_1A 185-56|image_000245.jpg|DATASET\pill-aluminium\ADIPINE_110489_1A 185-56\image_000245.jpg
-9.06752|-25.57651|ALBEMED_232853_1A 943-40|image_000115.jpg|DATASET\pill-aluminium\ALBEMED_232853_1A 943-40\image_000115.jpg
-8.30788|-25.59820|ALBEMED_232853_1A 943-40|image_000116.jpg|DATASET\pill-aluminium\ALBEMED_232853_1A 943-40\image_000116.jpg
-8.86325|-25.56806|ALBEMED_232853_1A 943-40|image_000117.jpg|DATASET\pill-aluminium\ALBEMED_232853_1A 943-40\image_000117.jpg
-8.42652|-25.48171|ALBEMED_232853_1A 943-40|image_000120.jpg|DATASET\pill-aluminium\ALBEMED_232853_1A 943-40\image_000120.jpg
-9.16722|-25.32408|ALBEMED_232853_1A 943-40|image_000121.jpg|DATASET\pill-aluminium\ALBEMED_232853_1A 943-40\image_000121.jpg
-8.46660|-25.21103|ALBEMED_232853_1A 943-40|image_000122.jpg|DATASET\pill-aluminium\ALBEMED_232853_1A 943-40\image_000122.jpg
-9.09667|-25.52518|ALBEMED_232853_1A 943-40|image_000123.jpg|DATASET\pill-aluminium\ALBEMED_232853_1A 943-40\image_000123.jpg
-8.55444|-25.63371|ALBEMED_232853_1A 943-40|image_000125.jpg|DATASET\pill-aluminium\ALBEMED_232853_1A 943-40\image_000125.jpg
-23.85192|13.32852|ALCIDOL 1_1112279_ST-ALCIDOL-1|image_000410.jpg|DATASET\pill-aluminium\ALCIDOL 1_1112279_ST-ALCIDOL-1\image_000410.jpg
-23.47469|12.18833|ALCIDOL 1_1112279_ST-ALCIDOL-1|image_000411.jpg|DATASET\pill-aluminium\ALCIDOL 1_1112279_ST-ALCIDOL-1\image_000411.jpg
-23.75006|13.01367|ALCIDOL 1_1112279_ST-ALCIDOL-1|image_000412.jpg|DATASET\pill-aluminium\ALCIDOL 1_1112279_ST-ALCIDOL-1\image_000412.jpg
-23.55943|12.31438|ALCIDOL 1_1112279_ST-ALCIDOL-1|image_000413.jpg|DATASET\pill-aluminium\ALCIDOL 1_1112279_ST-ALCIDOL-1\image_000413.jpg
-23.83296|13.25522|ALCIDOL 1_1112279_ST-ALCIDOL-1|image_000414.jpg|DATASET\pill-aluminium\ALCIDOL 1_1112279_ST-ALCIDOL-1\image_000414.jpg
-23.46671|12.19602|ALCIDOL 1_1112279_ST-ALCIDOL-1|image_000415.jpg|DATASET\pill-aluminium\ALCIDOL 1_1112279_ST-ALCIDOL-1\image_000415.jpg
-23.79715|13.00835|ALCIDOL 1_1112279_ST-ALCIDOL-1|image_000416.jpg|DATASET\pill-aluminium\ALCIDOL 1_1112279_ST-ALCIDOL-1\image_000416.jpg
-23.58697|12.28772|ALCIDOL 1_1112279_ST-ALCIDOL-1|image_000417.jpg|DATASET\pill-aluminium\ALCIDOL 1_1112279_ST-ALCIDOL-1\image_000417.jpg
-26.97286|14.93808|ALCIDOL_792711_ST-ALCIDOL|image_000085.jpg|DATASET\pill-aluminium\ALCIDOL_792711_ST-ALCIDOL\image_000085.jpg
-27.54446|14.38053|ALCIDOL_792711_ST-ALCIDOL|image_000086.jpg|DATASET\pill-aluminium\ALCIDOL_792711_ST-ALCIDOL\image_000086.jpg
-26.78245|15.16623|ALCIDOL_792711_ST-ALCIDOL|image_000087.jpg|DATASET\pill-aluminium\ALCIDOL_792711_ST-ALCIDOL\image_000087.jpg
